Date,AV.L,BLND.L,BP.L,HSBA.L,RR.L
2023-01-03,448.9,408.2,483.35,529.9,
2023-01-04,456.8,412.8,465.85,543.5,
2023-01-05,448.7,409.5,471.75,565.3,
2023-01-06,456.0,410.2,477.05,568.6,
2023-01-09,455.0,410.0,479.3,563.2,
2023-01-10,458.4,410.2,475.1,564.1,
2023-01-11,448.7,420.3,478.55,569.6,
2023-01-12,451.7,430.9,485.0,581.8,
2023-01-13,444.2,432.5,484.35,591.2,
2023-01-16,443.9,440.5,481.0,596.1,
2023-01-17,441.8,441.6,484.65,591.2,
2023-01-18,441.0,437.0,486.2,590.7,
2023-01-19,436.2,435.6,474.7,585.5,
2023-01-20,439.0,433.8,475.85,592.6,
2023-01-23,440.1,434.7,480.8,592.1,
2023-01-24,441.3,435.9,475.25,594.8,
2023-01-25,455.7,436.1,,598.5,
2023-01-26,455.1,439.1,484.2,603.9,
2023-01-27,457.4,441.5,489.3,600.5,
2023-01-30,456.9,442.4,492.05,602.0,
2023-01-31,455.7,442.4,488.85,596.4,
2023-02-01,450.3,446.6,492.45,601.3,
2023-02-02,452.5,471.4,478.8,591.0,
2023-02-03,450.3,466.9,486.05,596.7,
2023-02-06,445.8,455.9,478.35,596.0,
2023-02-07,443.7,452.1,516.4,605.0,
2023-02-08,440.9,455.3,533.2,612.4,
2023-02-09,444.9,455.3,545.7,615.8,
2023-02-10,440.0,450.1,560.0,610.6,
2023-02-13,442.2,452.4,557.4,613.7,
2023-02-14,443.0,447.7,560.1,609.2,
2023-02-15,447.2,446.4,559.7,612.3,
2023-02-16,447.8,448.1,567.6,618.4,
2023-02-17,447.6,447.7,559.9,621.1,
2023-02-20,447.1,445.8,558.2,620.7,
2023-02-21,441.8,439.3,550.3,647.5,
2023-02-22,437.9,436.8,539.4,636.1,
2023-02-23,439.3,438.8,547.0,630.1,
2023-02-24,440.0,437.2,550.2,635.7,
2023-02-27,444.1,446.3,558.2,631.8,
2023-02-28,446.4,446.7,550.5,635.6,
2023-03-01,448.3,441.9,,640.3,
2023-03-02,445.1,442.9,561.2,619.0,
2023-03-03,447.2,444.1,555.3,618.3,
2023-03-06,449.0,453.6,559.4,617.8,
2023-03-07,448.7,444.3,558.5,624.3,
2023-03-08,450.1,433.6,558.4,630.7,
2023-03-09,462.4,419.2,557.0,621.1,
2023-03-10,449.7,409.7,549.2,592.6,
2023-03-13,424.3,404.6,522.5,568.1,
2023-03-14,428.6,411.0,530.8,577.0,
2023-03-15,407.0,406.9,486.8,548.4,
2023-03-16,415.0,399.9,482.45,558.1,
2023-03-17,402.2,391.4,479.95,542.1,
2023-03-20,411.6,399.8,487.0,541.7,
2023-03-21,423.2,398.9,503.4,554.0,
2023-03-22,420.7,375.0,504.4,564.6,
2023-03-23,416.0,367.8,498.7,548.2,
2023-03-24,408.3,366.1,486.3,534.0,
2023-03-27,412.7,365.9,496.4,541.1,
2023-03-28,413.7,363.6,507.8,541.1,
2023-03-29,420.1,374.1,510.5,554.0,
2023-03-30,405.5,388.5,513.2,555.3,
2023-03-31,404.2,387.8,510.8,549.7,
2023-04-03,404.6,390.1,532.7,556.4,
2023-04-04,408.1,388.5,527.2,551.2,
2023-04-05,409.0,382.3,533.7,554.2,
2023-04-06,417.1,393.1,531.9,562.9,
2023-04-11,420.2,389.7,537.0,562.4,
2023-04-12,422.7,392.4,539.6,561.6,
2023-04-13,425.1,388.9,538.7,567.3,
2023-04-14,421.7,394.5,541.0,584.3,
2023-04-17,417.4,396.3,543.8,578.1,
